Frame Number,Timecode,adaptive_ratio (w=2),content_val,delta_edges,delta_hue,delta_lum,delta_sat
1553,00:01:04.731,1.0963981290215352,0.8350875289351851,2.5455729166666665,0.6912977430555556,0.6493055555555556,1.1646592881944444
1554,00:01:04.773,1.0506968480489998,0.9531702112268517,2.8499348958333335,0.8091634114583334,0.6989474826388888,1.3513997395833333
1555,00:01:04.815,1.0615518949659104,1.0608271846064816,3.3341471354166665,0.8881293402777778,0.824951171875,1.4694010416666667
1556,00:01:04.856,1.0490256119337555,1.103569878472222,3.2373046875,0.8945855034722222,0.8314615885416666,1.5846625434027777
1557,00:01:04.898,1.0346000702410623,1.1054416232638888,3.1197102864583335,0.8899739583333334,0.8336588541666666,1.5926920572916667
1558,00:01:04.940,1.0686290392378353,1.0885416666666667,2.822265625,0.8504231770833334,0.8579915364583334,1.5572102864583333
1559,00:01:04.982,1.0711768249586127,1.0209508825231481,3.7906901041666665,0.7371148003472222,0.8102756076388888,1.5154622395833333
1560,00:01:05.023,0.9852948932983111,0.8445728443287037,2.69775390625,0.6024848090277778,0.7411838107638888,1.1900499131944444
1561,00:01:05.065,1.0067105410189907,0.7738896122685185,1.4388020833333333,0.4922146267361111,0.7409939236111112,1.0884602864583333
1562,00:01:05.107,0.7171873327704511,0.5453287760416666,1.307373046875,0.3268500434027778,0.5705837673611112,0.7385525173611112
1563,00:01:05.148,0.9430959038681945,0.6640715422453703,1.6947428385416667,0.4318576388888889,0.6461046006944444,0.9142523871527778
1564,00:01:05.190,1.1247700951111081,0.7589518229166666,1.8400065104166667,0.5120171440972222,0.6909993489583334,1.0738389756944444
1565,00:01:05.232,1.010890657060358,0.7383897569444443,1.7085774739583333,0.5731065538194444,0.6319715711805556,1.0100911458333333
1566,00:01:05.274,1.026574696737086,0.7512568721064815,1.5425618489583333,0.5462782118055556,0.632080078125,1.0754123263888888
1567,00:01:05.315,1.0874170835101014,0.7474591290509259,1.0860188802083333,0.5547146267361112,0.590576171875,1.0970865885416667
1568,00:01:05.357,1.0895455054010257,0.6824363425925926,3.299560546875,0.4740125868055556,0.5300021701388888,1.0432942708333333
1569,00:01:05.399,1.0652786814140098,0.5774016203703703,0.4012044270833333,0.3690592447916667,0.4780002170138889,0.8851453993055556
1570,00:01:05.440,0.9543337001914699,0.4292805989583333,0.37353515625,0.22501627604166666,0.3998209635416667,0.6630045572916666
1571,00:01:05.482,0.8853126012309688,0.3089011863425926,0.2974446614583333,0.12801106770833334,0.2904188368055556,0.5082736545138888
1572,00:01:05.524,0.3600877022642296,0.23055013020833334,0.11759440104166667,0.1326226128472222,0.1614312065972222,0.3975965711805556
1573,00:01:05.566,0.2646188232451371,0.15843822337962962,0.37353515625,0.0876193576388889,0.10099283854166667,0.2867024739583333
1574,00:01:05.607,8.416258973069361,1.6644241898148149,2.0613606770833335,0.9076605902777778,1.5391710069444444,2.5464409722222223
1575,00:01:05.649,0.3426357154727596,0.19108977141203706,0.034586588541666664,0.1317816840277778,0.13273111979166666,0.3087565104166667
1576,00:01:05.691,0.38016562590379366,0.21097366898148148,0.20060221354166666,0.1256781684027778,0.15660264756944445,0.3506401909722222
1577,00:01:05.732,0.8084087872940477,0.19698531539351852,0.19368489583333334,0.1147189670138889,0.132080078125,0.3441569010416667
1578,00:01:05.774,0.6305279389338988,0.16730866608796294,0.006917317708333333,0.10118272569444445,0.1118435329861111,0.2888997395833333
1579,00:01:05.816,1.8701992281214148,0.40530960648148157,0.062255859375,0.1974555121527778,0.3285047743055556,0.6899685329861112
1580,00:01:05.857,0.8484520542650639,0.24811921296296294,0.145263671875,0.15128580729166666,0.17423502604166666,0.4188368055555556
1581,00:01:05.899,0.8512852313718965,0.25446686921296297,0.23518880208333334,0.13004557291666666,0.1887478298611111,0.4446072048611111
1582,00:01:05.941,1.5468702165438701,0.3426649305555556,0.352783203125,0.17244466145833334,0.2804633246527778,0.5750868055555556
1583,00:01:05.983,0.6968917233649582,0.1995894820601852,0.048421223958333336,0.12727864583333334,0.1398383246527778,0.3316514756944444
1584,00:01:06.024,0.555490311215502,0.18391022858796294,0.22135416666666666,0.10576714409722222,0.12996419270833334,0.3159993489583333
1585,00:01:06.066,0.9912838228243367,0.36455620659722227,1.5840657552083333,0.2662489149305556,0.38037109375,0.4470486111111111
1586,00:01:06.108,0.8245773041222615,0.41749855324074076,1.3557942708333333,0.2870279947916667,0.4237196180555556,0.541748046875
1587,00:01:06.149,1.117272782099994,0.6700484664351851,2.1097819010416665,0.4876844618055556,0.6769476996527778,0.8455132378472222
1588,00:01:06.191,1.2087600932097764,0.8067581741898149,1.494140625,0.5853407118055556,0.8109809027777778,1.0239529079861112
1589,00:01:06.233,1.0453045829650567,0.81005859375,1.2589518229166667,0.558837890625,0.8098415798611112,1.0614963107638888
1590,00:01:06.275,0.9956507036998168,0.7720992476851851,1.099853515625,0.5740288628472222,0.7627224392361112,0.9795464409722222
1591,00:01:06.316,1.2575059549859853,0.8508933738425926,0.9269205729166666,0.6046278211805556,0.8023546006944444,1.1456976996527777
1592,00:01:06.358,1.0166702906428935,0.6341778790509259,1.6670735677083333,0.428955078125,0.6125759548611112,0.8610026041666666
1593,00:01:06.400,0.920008314350314,0.49027054398148145,2.86376953125,0.3301052517361111,0.4178602430555556,0.7228461371527778
1594,00:01:06.441,0.9527838412553373,0.38185402199074076,0.518798828125,0.20011393229166666,0.291259765625,0.6541883680555556
1595,00:01:06.483,0.810943722943723,0.26466652199074076,0.3458658854166667,0.15372721354166666,0.18345811631944445,0.4568142361111111
1596,00:01:06.525,0.8052878276181809,0.2139937789351852,0.006917317708333333,0.11962890625,0.1469455295138889,0.3754069010416667
1597,00:01:06.566,0.8346823792525052,0.2193558304398148,0.048421223958333336,0.132080078125,0.1457248263888889,0.3802625868055556
1598,00:01:06.608,0.6409952867993618,0.19706669560185186,0.04150390625,0.1096462673611111,0.13346354166666666,0.3480902777777778
1599,00:01:06.650,0.9981611239979328,0.3754792390046296,0.87158203125,0.2918294270833333,0.3815375434027778,0.4530707465277778
1600,00:01:06.692,0.8328033382978439,0.4209255642361111,1.3212076822916667,0.2952473958333333,0.4216037326388889,0.5459255642361112
1601,00:01:06.733,1.1255580931610472,0.6673357928240741,1.494140625,0.4540473090277778,0.6907823350694444,0.857177734375
1602,00:01:06.775,1.1857733528068621,0.7818467881944443,1.4180501302083333,0.6176486545138888,0.7666015625,0.9612901475694444
1603,00:01:06.817,1.0784151040802405,0.7933213975694445,1.3142903645833333,0.5965440538194444,0.8013509114583334,0.9820692274305556
1604,00:01:06.858,1.0926547431921492,0.7558412905092592,1.5494791666666667,0.5680609809027778,0.7569444444444444,0.9425184461805556
1605,00:01:06.900,1.2556856013516895,0.737521701388889,1.3627115885416667,0.5290798611111112,0.7595486111111112,0.9239366319444444
1606,00:01:06.942,0.8689455979384118,0.45430049189814814,0.4012044270833333,0.3182779947916667,0.4189724392361111,0.6256510416666666
1607,00:01:06.984,0.7026508281255022,0.3459201388888889,0.4703776041666667,0.24620225694444445,0.2597927517361111,0.5317654079861112
1608,00:01:07.025,0.5435537351277551,0.25198929398148145,0.33203125,0.15269639756944445,0.19791666666666666,0.4053548177083333
